seed,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
9,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,93,19
2,9,32,256,0.3666,0.1,az_good.ckpt,az_good.ckpt,234,5
2,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,214,1
4,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,217,3
5,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,5,9
3,9,32,256,0.8666,0.1,az_good.ckpt,az_good.ckpt,24,20
9,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,236,0
7,9,32,256,0.9,0.1,az_good.ckpt,az_good.ckpt,15,0
7,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,225,7
6,9,32,256,0.8666,0.1,az_good.ckpt,az_good.ckpt,3,0
4,9,32,256,0.0,20.0,az_good.ckpt,az_good.ckpt,241,4
8,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,4,8
1,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,13,7
9,9,32,256,0.6,0.1,az_good.ckpt,az_good.ckpt,24,7
2,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,201,6
3,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,125,7
4,9,32,256,0.7333,0.1,az_good.ckpt,az_good.ckpt,3,3
10,9,32,256,0.0666,0.1,az_good.ckpt,az_good.ckpt,236,1
4,9,32,256,0.3,20.0,az_good.ckpt,az_good.ckpt,1,3
6,9,32,256,0.2666,0.1,az_good.ckpt,az_good.ckpt,235,3
6,9,32,256,0.1666,0.1,az_good.ckpt,az_good.ckpt,233,2
8,9,32,256,0.3,20.0,az_good.ckpt,az_good.ckpt,1,8
3,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,33,11
5,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,243,0
2,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,41,8
9,9,32,256,0.5,0.1,az_good.ckpt,az_good.ckpt,42,27
7,9,32,256,0.0666,0.1,az_good.ckpt,az_good.ckpt,230,2
8,9,32,256,0.7,20.0,az_good.ckpt,az_good.ckpt,3,8
4,9,32,256,0.5,20.0,az_good.ckpt,az_good.ckpt,4,3
10,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,4,15
9,9,32,256,0.1,0.1,az_good.ckpt,az_good.ckpt,244,1
3,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,12,6
5,9,32,256,0.1333,0.1,az_good.ckpt,az_good.ckpt,233,1
10,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,4,2
2,9,32,256,0.5333,0.1,az_good.ckpt,az_good.ckpt,33,5
8,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,3,8
8,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,3,8
1,9,32,256,0.2,20.0,az_good.ckpt,az_good.ckpt,7,5
4,9,32,256,0.3,0.1,az_good.ckpt,az_good.ckpt,239,6
2,9,32,256,0.5,0.1,az_good.ckpt,az_good.ckpt,213,16
8,9,32,256,0.5333,0.1,az_good.ckpt,az_good.ckpt,12,8
5,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,211,4
7,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,15,0
6,9,32,256,0.8,0.1,az_good.ckpt,az_good.ckpt,2,0
4,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,11,1
5,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,243,0
8,9,32,256,0.4333,1.0,az_good.ckpt,az_good.ckpt,4,9
1,9,32,256,0.5,0.1,az_good.ckpt,az_good.ckpt,11,6
7,9,32,256,0.0,0.1,az_good.ckpt,az_good.ckpt,242,2
1,9,32,256,0.2333,0.1,az_good.ckpt,az_good.ckpt,225,2
7,9,32,256,0.4333,0.1,az_good.ckpt,az_good.ckpt,171,17
2,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,35,6
3,9,32,256,0.7666,0.1,az_good.ckpt,az_good.ckpt,23,38
9,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,60,17
7,9,32,256,0.2,20.0,az_good.ckpt,az_good.ckpt,26,6
2,9,32,256,0.9,0.1,az_good.ckpt,az_good.ckpt,139,17
1,9,32,256,0.5,0.1,az_good.ckpt,az_good.ckpt,11,6
4,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,11,1
4,9,32,256,0.4333,0.1,az_good.ckpt,az_good.ckpt,62,14
8,9,32,256,0.8666,0.1,az_good.ckpt,az_good.ckpt,2,8
7,9,32,256,0.3666,0.1,az_good.ckpt,az_good.ckpt,221,5
10,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,228,4
7,9,32,256,1.0,0.1,az_good.ckpt,az_good.ckpt,15,0
7,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,235,2
2,9,32,256,0.8,0.1,az_good.ckpt,az_good.ckpt,55,8
10,9,32,256,0.4666,0.1,az_good.ckpt,az_good.ckpt,52,32
5,9,32,256,0.6333,0.1,az_good.ckpt,az_good.ckpt,4,0
5,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,9,22
1,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,155,21
6,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,127,24
2,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,243,6
1,9,32,256,0.6,0.1,az_good.ckpt,az_good.ckpt,13,5
7,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,23,13
7,9,32,256,0.2,0.1,az_good.ckpt,az_good.ckpt,242,1
4,9,32,256,0.5666,0.1,az_good.ckpt,az_good.ckpt,18,2
7,9,32,256,0.5,0.1,az_good.ckpt,az_good.ckpt,18,16
3,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,13,10
3,9,32,256,0.3,0.1,az_good.ckpt,az_good.ckpt,224,6
10,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,7,7
3,9,32,256,0.3666,0.1,az_good.ckpt,az_good.ckpt,220,12
7,9,32,256,0.6,20.0,az_good.ckpt,az_good.ckpt,15,0
4,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,4,6
1,9,32,256,0.7333,0.1,az_good.ckpt,az_good.ckpt,7,5
1,9,32,256,0.6,0.1,az_good.ckpt,az_good.ckpt,13,5
10,9,32,256,0.4333,0.1,az_good.ckpt,az_good.ckpt,209,11
6,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,2,0
5,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,241,2
1,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,247,0
10,9,32,256,0.9,0.1,az_good.ckpt,az_good.ckpt,3,5
4,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,52,14
10,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,232,8
2,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,41,8
2,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,111,14
7,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,15,0
9,9,32,256,0.2666,0.1,az_good.ckpt,az_good.ckpt,238,5
2,9,32,256,0.7,20.0,az_good.ckpt,az_good.ckpt,41,8
3,9,32,256,0.2666,0.1,az_good.ckpt,az_good.ckpt,224,5
9,9,32,256,0.8333,0.1,az_good.ckpt,az_good.ckpt,7,9
3,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,13,10
5,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,8,10
1,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,9,11
6,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,2,0
5,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,10,16
4,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,237,6
6,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,10,1
6,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,93,6
2,9,32,256,0.0333,0.1,az_good.ckpt,az_good.ckpt,231,1
7,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,15,0
6,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,40,8
2,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,178,21
1,9,32,256,1.0,0.1,az_good.ckpt,az_good.ckpt,13,7
9,9,32,256,0.1666,0.1,az_good.ckpt,az_good.ckpt,245,2
6,9,32,256,1.0,0.1,az_good.ckpt,az_good.ckpt,4,0
6,9,32,256,0.6,0.1,az_good.ckpt,az_good.ckpt,36,0
1,9,32,256,0.1333,0.1,az_good.ckpt,az_good.ckpt,243,2
9,9,32,256,0.2,0.1,az_good.ckpt,az_good.ckpt,234,3
9,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,15,30
2,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,39,6
1,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,17,11
7,9,32,256,0.3,0.1,az_good.ckpt,az_good.ckpt,190,7
