seed,sampling_method,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
17,dirichlet-sample,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,22,31
16,dirichlet-sample,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,27,36
15,dirichlet-sample,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,40,18
23,dirichlet-sample,9,32,256,0.9333,1.0,az_good.ckpt,az_good.ckpt,30,37
7,dirichlet-sample,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,27,47
2,dirichlet-sample,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,35,28
24,dirichlet-sample,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,35,26
27,dirichlet-sample,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,34,36
7,dirichlet-sample,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,32,48
14,dirichlet-sample,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,36,38
23,dirichlet-sample,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,29,36
8,dirichlet-sample,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,28,19
9,dirichlet-sample,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,32,17
22,dirichlet-sample,9,32,256,0.9333,1.0,az_good.ckpt,az_good.ckpt,34,44
9,dirichlet-sample,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,32,17
27,dirichlet-sample,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,23,29
29,dirichlet-sample,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,44,31
15,dirichlet-sample,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,40,18
1,dirichlet-sample,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,44,29
20,dirichlet-sample,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,36,32
11,dirichlet-sample,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,35,30
28,dirichlet-sample,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,42,39
1,dirichlet-sample,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,33,27
30,dirichlet-sample,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,44,35
6,dirichlet-sample,9,32,256,0.8666,1.0,az_good.ckpt,az_good.ckpt,33,42
20,dirichlet-sample,9,32,256,0.9333,1.0,az_good.ckpt,az_good.ckpt,41,37
5,dirichlet-sample,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,27,41
30,dirichlet-sample,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,47,40
10,dirichlet-sample,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,38,29
3,dirichlet-sample,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,28,36
6,dirichlet-sample,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,25,38
11,dirichlet-sample,9,32,256,0.4333,1.0,az_good.ckpt,az_good.ckpt,35,43
12,dirichlet-sample,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,30,42
15,dirichlet-sample,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,39,19
22,dirichlet-sample,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,26,46
9,dirichlet-sample,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,31,16
9,dirichlet-sample,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,32,16
12,dirichlet-sample,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,38,46
1,dirichlet-sample,9,32,256,0.9333,1.0,az_good.ckpt,az_good.ckpt,43,30
15,dirichlet-sample,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,39,19
12,dirichlet-sample,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,30,42
11,dirichlet-sample,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,35,30
3,dirichlet-sample,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,28,36
25,dirichlet-sample,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,33,27
4,dirichlet-sample,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,42,43
15,dirichlet-sample,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,40,18
30,dirichlet-sample,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,47,40
29,dirichlet-sample,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,44,31
9,dirichlet-sample,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,32,17
7,dirichlet-sample,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,32,48
