seed,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
12,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,91,25
17,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,124,10
22,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,126,22
13,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,147,9
8,9,32,256,0.4333,1.0,az_good.ckpt,az_good.ckpt,136,17
25,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,136,14
13,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,9,7
28,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,120,5
5,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,122,46
10,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,40,40
31,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,113,10
18,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,103,40
14,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,128,24
2,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,114,9
14,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,42,10
5,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,162,11
14,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,12,2
30,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,118,30
31,9,32,256,0.4333,1.0,az_good.ckpt,az_good.ckpt,123,13
5,9,32,256,0.4333,1.0,az_good.ckpt,az_good.ckpt,114,12
6,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,40,50
9,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,138,9
5,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,134,10
13,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,55,13
20,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,143,17
22,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,135,4
3,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,157,3
14,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,123,16
15,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,141,5
19,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,148,10
21,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,33,6
31,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,121,8
2,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,173,20
18,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,112,14
4,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,62,7
27,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,168,12
2,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,137,6
8,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,185,4
21,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,33,5
9,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,136,9
10,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,59,21
17,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,146,14
23,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,189,7
1,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,107,62
2,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,92,12
28,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,171,22
1,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,131,12
