seed,sampling_method,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
6,epsilon,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,194,15
9,epsilon,9,32,256,0.95,1.0,az_good.ckpt,az_good.ckpt,25,13
22,epsilon,9,32,256,0.75,1.0,az_good.ckpt,az_good.ckpt,101,16
6,epsilon,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,163,13
15,epsilon,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,11,5
18,epsilon,9,32,256,0.65,1.0,az_good.ckpt,az_good.ckpt,150,6
14,epsilon,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,150,21
25,epsilon,9,32,256,0.05,1.0,az_good.ckpt,az_good.ckpt,230,3
18,epsilon,9,32,256,0.15,1.0,az_good.ckpt,az_good.ckpt,242,5
9,epsilon,9,32,256,0.35,1.0,az_good.ckpt,az_good.ckpt,215,11
22,epsilon,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,214,9
23,epsilon,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,230,0
28,epsilon,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,221,10
20,epsilon,9,32,256,0.85,1.0,az_good.ckpt,az_good.ckpt,114,17
2,epsilon,9,32,256,0.65,1.0,az_good.ckpt,az_good.ckpt,155,5
14,epsilon,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,46,13
20,epsilon,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,244,7
8,epsilon,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,244,0
25,epsilon,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,187,16
23,epsilon,9,32,256,0.75,1.0,az_good.ckpt,az_good.ckpt,124,21
28,epsilon,9,32,256,0.35,1.0,az_good.ckpt,az_good.ckpt,177,9
11,epsilon,9,32,256,0.45,1.0,az_good.ckpt,az_good.ckpt,154,6
17,epsilon,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,200,14
20,epsilon,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,209,9
8,epsilon,9,32,256,0.85,1.0,az_good.ckpt,az_good.ckpt,24,3
9,epsilon,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,153,17
29,epsilon,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,2,3
13,epsilon,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,169,4
15,epsilon,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,215,7
21,epsilon,9,32,256,0.55,1.0,az_good.ckpt,az_good.ckpt,128,3
22,epsilon,9,32,256,0.25,1.0,az_good.ckpt,az_good.ckpt,219,0
5,epsilon,9,32,256,0.75,1.0,az_good.ckpt,az_good.ckpt,86,28
9,epsilon,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,158,5
3,epsilon,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,182,15
15,epsilon,9,32,256,0.65,1.0,az_good.ckpt,az_good.ckpt,130,19
3,epsilon,9,32,256,0.55,1.0,az_good.ckpt,az_good.ckpt,190,7
30,epsilon,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,191,12
16,epsilon,9,32,256,0.05,1.0,az_good.ckpt,az_good.ckpt,244,3
24,epsilon,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,185,10
7,epsilon,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,235,2
8,epsilon,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,204,12
