seed,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
12,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,111,10
9,9,32,256,2.3,1.0,az_good.ckpt,az_good.ckpt,133,15
17,9,32,256,1.5,1.0,az_good.ckpt,az_good.ckpt,129,10
17,9,32,256,2.9,1.0,az_good.ckpt,az_good.ckpt,21,9
8,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,211,8
26,9,32,256,1.2,1.0,az_good.ckpt,az_good.ckpt,31,4
8,9,32,256,2.1,1.0,az_good.ckpt,az_good.ckpt,35,9
16,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,115,12
18,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,141,15
29,9,32,256,1.9,1.0,az_good.ckpt,az_good.ckpt,29,9
31,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,139,7
18,9,32,256,1.6,1.0,az_good.ckpt,az_good.ckpt,73,7
21,9,32,256,2.8,1.0,az_good.ckpt,az_good.ckpt,31,5
6,9,32,256,2.2,1.0,az_good.ckpt,az_good.ckpt,5,2
21,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,96,4
24,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,130,13
25,9,32,256,1.3,1.0,az_good.ckpt,az_good.ckpt,146,21
18,9,32,256,2.1,1.0,az_good.ckpt,az_good.ckpt,5,1
6,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,158,6
15,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,182,1
30,9,32,256,1.3,1.0,az_good.ckpt,az_good.ckpt,24,9
18,9,32,256,1.2,1.0,az_good.ckpt,az_good.ckpt,165,10
1,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,189,5
3,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,212,12
18,9,32,256,2.0,1.0,az_good.ckpt,az_good.ckpt,14,10
26,9,32,256,2.9,1.0,az_good.ckpt,az_good.ckpt,19,13
26,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,144,12
22,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,42,18
2,9,32,256,1.2,1.0,az_good.ckpt,az_good.ckpt,132,26
26,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,131,9
21,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,223,5
18,9,32,256,2.2,1.0,az_good.ckpt,az_good.ckpt,65,7
3,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,220,4
24,9,32,256,2.8,1.0,az_good.ckpt,az_good.ckpt,73,15
26,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,108,11
22,9,32,256,2.1,1.0,az_good.ckpt,az_good.ckpt,100,6
2,9,32,256,2.0,1.0,az_good.ckpt,az_good.ckpt,105,44
27,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,185,7
25,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,233,6
14,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,155,13
17,9,32,256,2.3,1.0,az_good.ckpt,az_good.ckpt,24,6
8,9,32,256,2.3,1.0,az_good.ckpt,az_good.ckpt,111,14
30,9,32,256,1.1,1.0,az_good.ckpt,az_good.ckpt,92,18
13,9,32,256,3.0,1.0,az_good.ckpt,az_good.ckpt,18,21
3,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,113,5
8,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,71,9
21,9,32,256,1.6,1.0,az_good.ckpt,az_good.ckpt,105,10
8,9,32,256,1.2,1.0,az_good.ckpt,az_good.ckpt,34,11
15,9,32,256,1.2,1.0,az_good.ckpt,az_good.ckpt,68,15
15,9,32,256,2.3,1.0,az_good.ckpt,az_good.ckpt,7,1
29,9,32,256,2.9,1.0,az_good.ckpt,az_good.ckpt,72,1
26,9,32,256,1.7,1.0,az_good.ckpt,az_good.ckpt,17,14
23,9,32,256,1.9,1.0,az_good.ckpt,az_good.ckpt,73,17
4,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,140,2
21,9,32,256,2.5,1.0,az_good.ckpt,az_good.ckpt,22,17
9,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,117,24
21,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,149,25
28,9,32,256,1.7,1.0,az_good.ckpt,az_good.ckpt,21,13
5,9,32,256,2.2,1.0,az_good.ckpt,az_good.ckpt,101,14
9,9,32,256,1.4,1.0,az_good.ckpt,az_good.ckpt,95,12
1,9,32,256,1.3,1.0,az_good.ckpt,az_good.ckpt,82,10
12,9,32,256,1.5,1.0,az_good.ckpt,az_good.ckpt,87,24
26,9,32,256,1.3,1.0,az_good.ckpt,az_good.ckpt,90,9
17,9,32,256,2.4,1.0,az_good.ckpt,az_good.ckpt,26,9
6,9,32,256,2.8,1.0,az_good.ckpt,az_good.ckpt,28,7
3,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,137,4
